threshold,precision,recall,fpr
0.5397478991596638,0.7660098522167488,0.9569230769230769,0.06785714285714285
0.5476470588235294,0.7698019801980198,0.9569230769230769,0.06642857142857143
0.5555462184873949,0.7736318407960199,0.9569230769230769,0.065
0.5634453781512605,0.7775,0.9569230769230769,0.06357142857142857
0.5713445378151261,0.7794486215538847,0.9569230769230769,0.06285714285714286
0.5792436974789916,0.7853535353535354,0.9569230769230769,0.060714285714285714
0.5871428571428571,0.7974358974358975,0.9569230769230769,0.056428571428571425
0.5950420168067226,0.8077922077922078,0.9569230769230769,0.05285714285714286
0.6029411764705882,0.7994428969359332,0.8830769230769231,0.05142857142857143
0.6108403361344538,0.8107344632768362,0.8830769230769231,0.047857142857142855
0.6187394957983193,0.8218390804597702,0.88,0.04428571428571428
0.6266386554621849,0.8242074927953891,0.88,0.04357142857142857
0.6345378151260503,0.8313953488372093,0.88,0.041428571428571426
0.6424369747899159,0.8461538461538461,0.88,0.037142857142857144
0.6503361344537815,0.8562874251497006,0.88,0.03428571428571429
0.658235294117647,0.8773006134969326,0.88,0.02857142857142857
0.6661344537815126,0.896551724137931,0.88,0.023571428571428573
0.6740336134453782,0.9137380191693291,0.88,0.019285714285714285
0.6819327731092437,0.9315960912052117,0.88,0.015
0.6898319327731092,0.9565217391304348,0.88,0.009285714285714286
0.6977310924369747,0.9693877551020408,0.8769230769230769,0.0064285714285714285
0.7056302521008403,0.9692832764505119,0.8738461538461538,0.0064285714285714285
0.7135294117647059,0.9826989619377162,0.8738461538461538,0.0035714285714285713
0.7214285714285714,0.9826989619377162,0.8738461538461538,0.0035714285714285713
0.729327731092437,0.9826989619377162,0.8738461538461538,0.0035714285714285713
0.7372268907563024,0.9826989619377162,0.8738461538461538,0.0035714285714285713
0.745126050420168,0.9861111111111112,0.8738461538461538,0.002857142857142857
0.7530252100840336,0.9895470383275261,0.8738461538461538,0.002142857142857143
0.7609243697478991,0.993006993006993,0.8738461538461538,0.0014285714285714286
0.7688235294117647,0.993006993006993,0.8738461538461538,0.0014285714285714286
0.7767226890756302,0.993006993006993,0.8738461538461538,0.0014285714285714286
0.7846218487394957,0.993006993006993,0.8738461538461538,0.0014285714285714286
0.7925210084033613,0.9964912280701754,0.8738461538461538,0.0007142857142857143
0.8004201680672268,0.9964912280701754,0.8738461538461538,0.0007142857142857143
0.8083193277310924,0.9964788732394366,0.8707692307692307,0.0007142857142857143
0.816218487394958,0.9964664310954063,0.8676923076923077,0.0007142857142857143
0.8241176470588235,0.9964539007092199,0.8646153846153846,0.0007142857142857143
0.8320168067226891,0.996415770609319,0.8553846153846154,0.0007142857142857143
0.8399159663865545,0.9964028776978417,0.8523076923076923,0.0007142857142857143
0.8478151260504201,0.9963768115942029,0.8461538461538461,0.0007142857142857143
0.8557142857142856,0.9963503649635036,0.84,0.0007142857142857143
0.8636134453781512,0.9963235294117647,0.8338461538461538,0.0007142857142857143
0.8715126050420168,0.9963235294117647,0.8338461538461538,0.0007142857142857143
0.8794117647058823,0.9963235294117647,0.8338461538461538,0.0007142857142857143
0.8873109243697478,0.9959514170040485,0.7569230769230769,0.0007142857142857143
0.8952100840336134,0.9959514170040485,0.7569230769230769,0.0007142857142857143
0.9031092436974789,0.9959514170040485,0.7569230769230769,0.0007142857142857143
0.9110084033613445,0.9959514170040485,0.7569230769230769,0.0007142857142857143
0.91890756302521,0.9959514170040485,0.7569230769230769,0.0007142857142857143
0.9268067226890756,0.9959349593495935,0.7538461538461538,0.0007142857142857143
0.934705882352941,0.9959349593495935,0.7538461538461538,0.0007142857142857143
0.9426050420168066,0.9959183673469387,0.7507692307692307,0.0007142857142857143
0.9505042016806722,0.9959183673469387,0.7507692307692307,0.0007142857142857143
0.9584033613445377,0.9959016393442623,0.7476923076923077,0.0007142857142857143
0.9663025210084033,0.9959016393442623,0.7476923076923077,0.0007142857142857143
0.9742016806722689,0.995850622406639,0.7384615384615385,0.0007142857142857143
0.9821008403361344,0.99581589958159,0.7323076923076923,0.0007142857142857143
0.99,0.99581589958159,0.7323076923076923,0.0007142857142857143
