epsilon_total,regime,mae,clipping_bias,median_relative_error
4,sparse,7.99530879830169,0.5015925751301946,0.329608035046553
4,dense,10.791524911259033,0.0,0.006565344645355532
4,sparse,8.030918271094881,0.9433485266480344,0.2665202876058169
4,dense,10.616326412576514,0.0,0.0064043828715601
4,sparse,8.059393878264833,0.17817818646988326,0.2522610420676013
4,dense,9.877743249922858,0.0,0.005624001838493672
4,sparse,7.0829739003816,0.22216110958550153,0.2695716252021775
4,dense,12.50289469457735,0.0,0.00791621295194951
4,sparse,9.588466879944733,1.0271083734049509,0.29355818662457733
4,dense,10.415646248215632,0.0,0.0052990245592785725
4,sparse,8.243598887093881,0.6248697123588723,0.20996406040076754
4,dense,10.559528467764553,0.0,0.0065106778887650315
4,sparse,10.576503684027502,0.0,0.21384401040627135
4,dense,8.218556650757272,0.0,0.006746078104139614
4,sparse,8.080987430644292,0.09143790519627593,0.22480803904371466
4,dense,9.785710146096791,0.0,0.00556222342699738
4,sparse,8.221744577278658,0.7754573833866868,0.20731751742502236
4,dense,8.314880407346507,0.0,0.00404946124251303
4,sparse,8.65893892593093,0.0,0.25808183608466895
4,dense,8.388906552701584,0.0,0.0037477412836579497
4,sparse,6.458262164130104,0.0,0.21553511713330412
4,dense,7.639384417722662,0.0,0.004211264823800721
4,sparse,7.26767106879156,0.0,0.27527980295255844
4,dense,6.745027324221643,0.0,0.004588015606974883
4,sparse,9.719420952376796,0.8395148868003443,0.25285940588719197
4,dense,11.214054352793049,0.0,0.006963708192770552
4,sparse,8.460912017569251,0.2521856257050743,0.16653850342434845
4,dense,8.810227126140282,0.0,0.0067668530119160495
4,sparse,8.416747520455244,0.09319512394012593,0.19961560688521585
4,dense,9.656490565503526,0.0,0.006852479840455795
4,sparse,9.229429517807759,0.4565021516697405,0.2402337759047683
4,dense,9.841182226381669,0.0,0.006696327249496062
4,sparse,10.358560187656943,0.0,0.22009801512826044
4,dense,10.805698688613118,0.0,0.007106379566849799
4,sparse,9.558655332347003,0.0,0.21720200998344483
4,dense,12.125869969439984,0.0,0.005700379993153418
4,sparse,14.525521000436063,0.6826625902004227,0.6373695980295825
4,dense,6.642422749797201,0.0,0.0050180977631962284
4,sparse,9.917984010677916,0.4929941330906423,0.3068082450040772
4,dense,9.566572381409353,0.0,0.003476303075797231
4,sparse,6.584961444729042,0.3060697858788628,0.1982508749549236
4,dense,9.588995471660603,0.0,0.0032471232215577055
4,sparse,5.890764568095811,0.016278589338150667,0.1277808522355386
4,dense,6.514336067342164,0.0,0.002987587852883675
4,sparse,7.794515862088417,0.4795335361393011,0.24082706499318973
4,dense,8.736050109144493,0.0,0.006906768146293143
4,sparse,8.885590614716856,0.0,0.28113580003394784
4,dense,10.879604098342876,0.0,0.005171832277774837
4,sparse,11.944838769711643,0.36328649638667576,0.21823852336237057
4,dense,10.150778168795478,0.0,0.005299320761515759
4,sparse,9.822110807663773,3.249603423560225,0.36099079281999735
4,dense,9.88937300224732,0.0,0.006969350868327848
4,sparse,7.719051832545603,0.5318675847918045,0.3088979304138321
4,dense,4.8573893936615775,0.0,0.003386971897141635
4,sparse,8.773785347900684,1.1068499783923376,0.19873624452667832
4,dense,9.028316689664232,0.0,0.005881692483185649
4,sparse,6.66272854382052,0.5979882294655133,0.27435303159735014
4,dense,12.904793900288785,0.0,0.008769793623122687
8,sparse,4.33972918887141,0.0,0.16992234889198574
8,dense,3.369186269893651,0.0,0.0021324362023057413
8,sparse,4.442634902959803,0.0,0.17684742631212225
